seq,dataset,scan,eic,version,io_method,io_workers,shared_buffers,selectivity_rows,selectivity_pages,timing_cold,numeric
123,uniform,indexscan,16,prefetch-complex,worker,3,32GB,0.063,1.132,153.952,8.028
124,uniform,indexscan,16,prefetch-complex,io_uring,3,32GB,67.279,100.0,13457.845,5237.151
125,uniform,bitmapscan,1,master,worker,3,32GB,0.208,3.679,1762.123,26.342
126,uniform,indexscan,0,prefetch-simple,worker,12,32GB,27.28,99.67,26189.828,2214.972
127,uniform,indexscan,64,prefetch-complex,sync,3,32GB,47.283,99.999,11898.221,3719.783
128,uniform,indexscan,0,master,sync,3,32GB,3.599,48.311,17042.527,347.533
129,uniform,indexscan,64,master,io_uring,3,32GB,0.478,8.256,2957.963,50.728
130,uniform,bitmapscan,0,prefetch-complex,worker,12,32GB,77.303,100.0,5570.152,1399.281
131,uniform,indexscan,1,prefetch-complex,worker,3,32GB,0.027,0.491,260.597,5.895
132,uniform,bitmapscan,0,prefetch-simple,worker,3,32GB,67.303,100.0,5326.011,1294.868
133,uniform,bitmapscan,64,master,worker,3,32GB,0.315,5.531,620.337,39.059
134,uniform,bitmapscan,16,prefetch-complex,worker,12,32GB,97.312,100.0,3164.904,1459.677
135,uniform,indexscan,0,master,worker,12,32GB,12.134,90.225,24627.409,1126.29
136,uniform,indexscan,0,master,worker,3,32GB,5.406,63.198,20938.17,511.817
137,uniform,indexscan,16,prefetch-complex,sync,3,32GB,5.389,63.054,6907.553,464.462
138,uniform,indexscan,64,prefetch-complex,sync,3,32GB,0.141,2.503,278.869,14.663
139,uniform,indexscan,0,prefetch-complex,io_uring,3,32GB,27.288,99.676,27097.259,2266.416
140,uniform,indexscan,64,prefetch-complex,worker,3,32GB,27.285,99.684,11663.085,2189.303
141,uniform,bitmapscan,1,prefetch-complex,worker,3,32GB,97.31,100.0,5974.723,1435.822
142,uniform,bitmapscan,1,master,sync,3,32GB,0.318,5.583,2536.373,39.781
143,uniform,indexscan,1,prefetch-simple,worker,3,32GB,0.013,0.24,119.484,3.566
144,uniform,indexscan,64,master,sync,3,32GB,0.004,0.069,42.76,1.747
145,uniform,bitmapscan,64,master,io_uring,3,32GB,5.386,63.068,3350.194,664.068
146,uniform,bitmapscan,1,prefetch-complex,io_uring,3,32GB,1.601,25.213,9693.996,259.905
147,uniform,bitmapscan,16,master,worker,12,32GB,0.029,0.514,55.153,5.926
148,uniform,indexscan,16,prefetch-simple,worker,3,32GB,0.019,0.333,36.804,4.05
149,uniform,bitmapscan,0,prefetch-complex,io_uring,3,32GB,87.292,100.0,5530.021,1444.967
150,uniform,indexscan,0,master,io_uring,3,32GB,1.068,17.584,6462.154,104.157
151,uniform,bitmapscan,16,prefetch-complex,worker,12,32GB,8.084,78.031,2616.893,839.578
152,uniform,bitmapscan,64,prefetch-complex,io_uring,3,32GB,0.006,0.107,12.708,2.388
